id,Title,Votes,Status,Types,Episodes,Score,Source,Members,Popularity,Favourites,Rating,Year,Season,Genres,Studios
30228,Chel-in sacheon-wang,41,finished_airing,movie,1,,,218,16708,,pg_13,1999,winter,"['Action', 'Sci-Fi']",
31252,"Korekarasaki, Nando Anata to.",645,finished_airing,music,1,5.67,,1175,11276,,g,2015,summer,"['Music', 'Slice of Life']",['MAPPA']
31508,Shinya Doubutsuen,19,finished_airing,movie,1,,,121,18381,,g,,,,
32276,Nar Doma Manner Movie,29,finished_airing,movie,1,,web_manga,230,16513,,g,2015,fall,['Comedy'],['Kachidoki Studio']
32788,Ningyo no Hanashi,125,finished_airing,music,1,5.43,music,248,16251,,g,2014,fall,"['Fantasy', 'Music']",
34324,Chiryokumaru,1105,finished_airing,ona,1,5.13,original,2185,9652,,pg_13,2016,fall,['Action'],['Studio 4°C']
35092,Kakusenou Gakushuu Animation,13,finished_airing,ova,1,,original,93,18740,,g,,,['Historical'],
36116,Tsuugakuro,120,finished_airing,music,1,5.47,original,264,16040,,pg,2016,fall,['Music'],
36372,Hiromi,101,finished_airing,music,1,,original,193,17155,,g,1980,spring,"['Kids', 'Music']",
37908,Senjou no Valkyria Special,375,finished_airing,special,1,5.54,,1377,10864,,pg_13,2010,spring,['Comedy'],['A-1 Pictures']
38420,Minimini TV CM,38,finished_airing,special,7,,original,192,17174,,g,2011,summer,['Slice of Life'],
38676,Macross Δ Movie: Gekijou no Walküre Specials,162,finished_airing,special,2,5.94,original,884,12030,,pg_13,2018,summer,['Comedy'],['Satelight']
38932,Oyako wa Tsudzuku yo,107,finished_airing,ona,1,6.12,original,216,16751,,g,,,['Slice of Life'],['Trash Studio']
39700,Miracle,151,finished_airing,music,1,6.31,original,296,15565,,g,2016,fall,"['Avant Garde', 'Music']",
40468,Smileflower,52,finished_airing,music,1,,original,123,18346,,g,2011,spring,"['Kids', 'Music']",
43284,Shuide Benling Da,9,finished_airing,movie,1,,,38,19697,,g,,,['Kids'],['Shanghai Animation Film Studio']
43540,Qian……,3,finished_airing,movie,1,,original,36,19791,,pg,,,['Kids'],['Shanghai Animation Film Studio']
43796,Shihang,4,finished_airing,movie,1,,original,34,19881,,g,,,['Historical'],['Shanghai Animation Film Studio']
44820,Wo Yu La La,,finished_airing,movie,1,,original,,,,pg,,,['Kids'],
45076,Chi Mi Shaonu,,finished_airing,tv,26,,original,,,,pg_13,,,['Adventure'],
45332,Xiong Haizi Sanzijing,,finished_airing,tv,13,,original,,,,pg,,,['Kids'],
45844,Shanmao He Ji Mi Zhi Mohuan Pintu,,finished_airing,tv,52,,original,,,,pg,,,['Kids'],
46100,Du La Jiang Gushi,,finished_airing,tv,384,,original,,,,pg,,,['Kids'],
46356,Shuo Yue Yingxiong Chuan,,finished_airing,tv,100,,original,,,,pg,,,['Historical'],
46868,Cha A Er Zhong Pao Mian Fan,,finished_airing,ona,21,,original,,,,g,,,['Slice of Life'],
47124,Qiaopi Da Zui Mao Zhi Youchang Jiaqi,,finished_airing,tv,50,,original,,,,pg,,,['Kids'],
47380,Meng Ji Xiaodui season3,,finished_airing,tv,52,,original,,,,pg,,,['Kids'],
47892,Pao Pao Ma Lin,,finished_airing,tv,52,,original,,,,pg,,,['Kids'],
48148,Kkuleogi Kelatobseu Koliyo,,finished_airing,tv,,,,,,,,,,['Fantasy'],
49684,Unmei,82,finished_airing,music,1,,original,151,17882,,pg_13,2021,summer,"['Music', 'Psychological']",['Studio Gohan']
50452,Hei He,,finished_airing,ona,1,,original,,,,,,,"['Action', 'Psychological']",
50964,Koufukuron,276,finished_airing,music,1,6.47,original,510,13590,,pg_13,2021,fall,,
